 agent, time, position.x, position.y, position.z,  yaw, yaw_rate
ifo001,0,0,0,1.13,-,-0.3
ifo001,90,-2,2,1.75,     -,0.3
ifo001,95,2,2,1.5,     -,0.3
ifo001,105,-2,2,1,     -,0.3
ifo001,115,2,2,0.5,     -,0.3
ifo001,125,-2,1,0.5,     -,0.3
ifo001,135,2,1,1,     -,0.3
ifo001,145,-2,1,1.5,     -,0.3
ifo001,155,2,1,1.75,     -,0.3
ifo001,165,-2,2,1.75,     -,0.3
ifo001,175,2,2,1.5,     -,0.3
ifo001,185,-2,2,1,     -,0.3
ifo001,195,2,2,0.5,     -,0.3
ifo001,205,-2,1,0.5,     -,0.3
ifo001,215,2,1,1,     -,0.3
ifo001,225,-2,1,1.5,     -,0.3
ifo001,235,2,1,1.75,     -,0.3
ifo001,245,2,1,1.125,0,     -
ifo001,260,0,0,1.125,0,     -
,,,,,,
ifo002,0,0,2,1.5,     -,0.3
ifo002,5,-2,2,0.5,     -,0.3
ifo002,15,2,2,1,     -,0.3
ifo002,25,-2,2,1.5,     -,0.3
ifo002,35,2,2,1.75,     -,0.3
ifo002,45,-2,1,1.75,     -,0.3
ifo002,55,2,1,1.5,     -,0.3
ifo002,65,-2,1,1,     -,0.3
ifo002,75,2,1,0.5,     -,0.3
ifo002,90,0,0,1.13,     -,0.3
ifo002,160,0,0,1.13,     -,0.3
ifo002,170,2,-2,1.75,     -,0.3
ifo002,180,-2,-2,1.5,     -,0.3
ifo002,190,2,-2,1,     -,0.3
ifo002,200,-2,-2,0.5,     -,0.3
ifo002,210,2,-1,0.5,     -,0.3
ifo002,220,-2,-1,1,     -,0.3
ifo002,230,2,-1,1.5,     -,0.3
ifo002,240,-2,-1,1.75,     -,0.3
ifo002,250,0,2,1.125,0,     -
ifo002,260,0,2,1.125,0,     -
,,,,,,
ifo003,0,0,-2,1.5,     -,0.3
ifo003,10,2,-2,1.75,     -,0.3
ifo003,20,-2,-2,1.5,     -,0.3
ifo003,30,2,-2,1,     -,0.3
ifo003,40,-2,-2,0.5,     -,0.3
ifo003,50,2,-1,0.5,     -,0.3
ifo003,60,-2,-1,1,     -,0.3
ifo003,70,2,-1,1.5,     -,0.3
ifo003,80,-2,-1,1.75,     -,0.3
ifo003,90,2,-2,0.5,     -,0.3
ifo003,100,-2,-2,1,     -,0.3
ifo003,110,2,-2,1.5,     -,0.3
ifo003,120,-2,-2,1.75,     -,0.3
ifo003,130,2,-1,1.75,     -,0.3
ifo003,140,-2,-1,1.5,     -,0.3
ifo003,150,2,-1,1,     -,0.3
ifo003,160,-2,-1,0.5,     -,0.3
ifo003,170,0,0,1.125,     -,0.3
ifo003,240,0,0,1.125,     -,0.3
ifo003,250,0,-2,1.125,0,     -
ifo003,260,0,-2,1.125,0,     -
